Epoch Time,Value
1704096514000,1
1704096527000,1
1704096540000,1
1704096545000,1
1704096561000,1
1704096575000,1
1704096587000,1
1704096600000,1
1704096609000,1
1704096621000,1
1704096638000,1
1704096647000,1
1704096660000,1
1704096673000,1
1704096681000,1
1704096695000,1
1704096708000,1
1704096720000,1
1704096738000,1
1704096741000,1
1704096756000,1
1704096768000,1
1704096780000,1
1704096801000,1
1704096802000,1
1704096815000,1
1704096829000,1
1704096840000,1
1704096861000,1
1704096867000,1
1704096876000,1
1704096889000,1
1704096900000,1
1704096921000,1
1704096931000,1
1704096937000,1
1704096949000,1
1704096960000,1
1704096981000,1
1704096996000,1
1704096997000,1
1704097010000,1
1704097020000,1
1704097041000,1
1704097058000,1
1704097061000,1
1704097070000,1
1704097080000,1
1704097101000,1
1704097114000,1
1704097124000,1
1704097130000,1
1704097140000,1
1704097161000,1
1704097176000,1
1704097189000,1
1704097191000,1
1704097200000,1
1704097221000,1
1704097236000,1
1704097251000,1
1704097253000,1
1704097260000,1
1704097281000,1
1704097297000,1
1704097312000,1
1704097317000,1
1704097320000,1
1704097341000,1
1704097357000,1
1704097372000,1
1704097380000,1
1704097381000,1
1704097401000,1
1704097413000,1
1704097432000,1
1704097440000,1
1704097445000,1
1704097461000,1
1704097475000,1
1704097493000,1
1704097500000,1
1704097509000,1
1704097521000,1
1704097535000,1
1704097553000,1
1704097560000,1
1704097574000,1
1704097581000,1
1704097595000,1
1704097613000,1
1704097620000,1
1704097638000,1
1704097641000,1
1704097653000,1
1704097674000,1
1704097680000,1
1704097701000,1
1704097703000,1
1704097726000,1
1704097734000,0
1704097740000,0
1704097761000,0
1704097767000,0
1704097777000,0
1704097794000,0
1704097800000,0
1704097821000,0
1704097832000,0
1704097837000,0
1704097855000,0
1704097860000,0
1704097881000,0
1704097896000,0
1704097898000,0
1704097915000,0
1704097920000,0
1704097941000,0
1704097957000,0
1704097960000,0
1704097975000,0
1704097980000,0
1704098001000,0
1704098017000,0
1704098024000,0
1704098036000,0
1704098040000,0
1704098061000,0
1704098077000,0
1704098088000,0
1704098096000,0
1704098100000,0
1704098121000,0
1704098137000,0
1704098152000,0
1704098157000,0
1704098160000,0
1704098181000,0
1704098197000,0
1704098216000,0
1704098217000,0
1704098220000,0
1704098241000,0
1704098257000,0
1704098277000,0
1704098280000,0
1704098301000,0
1704098317000,0
1704098338000,0
1704098340000,0
1704098344000,0
1704098361000,0
1704098377000,0
1704098398000,0
1704098400000,0
1704098409000,0
1704098421000,0
1704098437000,0
1704098458000,0
1704098460000,0
1704098473000,0
1704098481000,0
1704098497000,0
1704098519000,0
1704098520000,0
1704098537000,0
1704098541000,0
1704098557000,0
1704098579000,0
1704098580000,0
1704098601000,0
1704098617000,0
1704098639000,0
1704098640000,0
1704098661000,0
1704098665000,0
1704098677000,0
1704098700000,0
1704098721000,0
1704098729000,0
1704098737000,0
1704098760000,0
1704098781000,0
1704098794000,0
1704098797000,0
1704098820000,0
1704098841000,0
1704098857000,0
1704098859000,0
1704098880000,0
1704098881000,0
1704098901000,0
1704098917000,0
1704098923000,0
1704098940000,0
1704098941000,0
1704098961000,0
1704098977000,0
1704098987000,0
1704099000000,0
1704099001000,0
1704099021000,0
1704099038000,0
1704099051000,0
1704099060000,0
1704099062000,0
1704099081000,0
1704099097000,0
1704099115000,0
1704099120000,0
1704099122000,0
1704099141000,0
1704099157000,0
1704099179000,0
1704099180000,0
1704099182000,0
1704099201000,0
1704099217000,0
1704099240000,0
1704099243000,0
1704099261000,0
1704099278000,0
1704099300000,0
1704099303000,0
1704099308000,0
1704099321000,0
1704099346000,1
1704099360000,1
1704099363000,1
1704099372000,1
1704099381000,1
1704099403000,1
1704099420000,1
1704099424000,1
1704099436000,1
1704099441000,1
1704099452000,1
1704099480000,1
1704099484000,1
1704099501000,1
1704099510000,1
1704099540000,1
1704099545000,1
1704099561000,1
1704099565000,1
1704099573000,1
1704099600000,1
1704099605000,1
1704099621000,1
1704099629000,1
1704099630000,1
1704099660000,1
1704099665000,1
1704099681000,1
1704099695000,1
1704099697000,0
1704099720000,0
1704099726000,0
1704099741000,0
1704099757000,0
1704099759000,0
1704099780000,0
1704099786000,0
1704099801000,0
1704099817000,0
1704099823000,0
1704099840000,0
1704099846000,0
1704099861000,0
1704099877000,0
1704099887000,0
1704099900000,0
1704099907000,0
1704099921000,0
1704099937000,0
1704099951000,0
1704099960000,0
1704099967000,0
1704099981000,0
1704099997000,0
1704100015000,0
1704100020000,0
1704100027000,0
1704100041000,0
1704100057000,0
1704100079000,0
1704100080000,0
1704100088000,0
1704100101000,0
1704100117000,0
1704100140000,0
1704100144000,0
1704100148000,0
1704100161000,0
1704100177000,0
1704100200000,0
1704100208000,0
1704100209000,0
1704100221000,0
1704100237000,0
1704100260000,0
1704100269000,0
1704100274000,0
1704100281000,0
1704100297000,0
1704100320000,0
1704100329000,0
1704100339000,0
1704100341000,0
1704100358000,0
1704100380000,0
1704100389000,0
1704100401000,0
1704100402000,0
1704100418000,0
1704100440000,0
1704100450000,0
1704100461000,0
1704100466000,0
1704100477000,0
1704100500000,0
1704100510000,0
1704100521000,0
1704100530000,0
1704100537000,0
1704100560000,0
1704100570000,0
1704100581000,0
1704100594000,0
1704100597000,0
1704100620000,0
1704100631000,0
1704100641000,0
1704100657000,0
1704100658000,0
1704100680000,0
1704100691000,0
1704100701000,0
1704100717000,0
1704100723000,0
1704100740000,0
1704100751000,0
1704100761000,0
1704100777000,0
1704100786000,0
1704100800000,0
1704100812000,0
1704100821000,0
1704100837000,0
1704100851000,0
1704100860000,0
1704100872000,0
1704100881000,0
1704100897000,0
1704100915000,0
1704100920000,0
1704100933000,0
1704100941000,0
1704100957000,0
1704100979000,0
1704100980000,0
1704100993000,0
1704101001000,0
1704101017000,0
1704101040000,0
1704101043000,0
1704101053000,0
1704101061000,0
1704101078000,0
1704101100000,0
1704101106000,0
1704101114000,0
1704101121000,0
1704101137000,0
1704101160000,0
1704101170000,0
1704101174000,0
1704101181000,0
1704101197000,0
1704101220000,0
1704101234000,0
1704101241000,0
1704101257000,0
1704101280000,0
1704101295000,0
1704101298000,0
1704101301000,0
1704101317000,0
1704101340000,0
1704101355000,0
1704101361000,0
1704101377000,0
1704101400000,0
1704101415000,0
1704101421000,0
1704101426000,0
1704101437000,0
1704101460000,0
1704101476000,0
1704101481000,0
1704101490000,0
1704101497000,0
1704101520000,0
1704101536000,0
1704101541000,0
1704101555000,0
1704101557000,0
1704101580000,0
1704101596000,0
1704101601000,0
1704101617000,0
1704101619000,0
1704101640000,0
1704101657000,0
1704101661000,0
1704101678000,0
1704101684000,0
1704101700000,0
1704101717000,0
1704101721000,0
1704101737000,0
1704101747000,0
1704101760000,0
1704101777000,0
1704101781000,0
1704101797000,0
1704101812000,0
1704101820000,0
1704101838000,0
1704101841000,0
1704101857000,0
1704101876000,0
1704101880000,0
1704101898000,0
1704101901000,0
1704101917000,0
1704101940000,0
1704101958000,0
1704101961000,0
1704101977000,0
1704102000000,0
1704102003000,0
1704102019000,0
1704102021000,0
1704102037000,0
1704102060000,0
1704102068000,0
1704102079000,0
1704102081000,0
1704102097000,0
1704102120000,0
1704102132000,0
1704102139000,0
1704102141000,0
1704102157000,0
1704102180000,0
1704102196000,0
1704102200000,0
1704102201000,0
1704102217000,0
1704102240000,0
1704102260000,0
1704102261000,0
1704102278000,0
1704102300000,0
1704102321000,0
1704102325000,0
1704102337000,0
1704102360000,0
1704102381000,0
1704102390000,0
1704102397000,0
1704102420000,0
1704102441000,0
1704102454000,0
1704102457000,0
1704102480000,0
1704102501000,0
1704102502000,0
1704102517000,0
1704102519000,0
1704102540000,0
1704102561000,0
1704102562000,0
1704102577000,0
1704102583000,0
1704102600000,0
1704102621000,0
1704102622000,1
1704102637000,0
1704102647000,0
1704102660000,0
1704102681000,0
1704102683000,0
1704102697000,0
1704102711000,0
1704102720000,0
1704102741000,0
1704102743000,0
1704102757000,0
1704102775000,0
1704102780000,0
1704102801000,1
1704102803000,Null
1704102817000,0
1704102840000,0
1704102861000,0
1704102864000,0
1704102878000,0
1704102900000,0
1704102904000,0
1704102921000,0
1704102924000,0
1704102938000,0
1704102960000,0
1704102968000,0
1704102981000,0
1704102984000,0
1704102997000,0
1704103020000,0
1704103032000,0
1704103041000,0
1704103045000,0
1704103057000,0
1704103080000,0
1704103098000,0
1704103101000,0
1704103105000,0
1704103117000,0
1704103140000,0
1704103161000,0
1704103162000,0
1704103166000,0
1704103177000,0
1704103200000,0
1704103221000,0
1704103226000,0
1704103237000,0
1704103260000,0
1704103281000,0
1704103286000,0
1704103291000,0
1704103297000,0
1704103320000,0
1704103341000,0
1704103347000,0
1704103355000,0
1704103357000,0
1704103380000,0
1704103401000,0
1704103407000,0
1704103418000,0
1704103419000,0
1704103440000,0
1704103461000,0
1704103467000,0
1704103477000,0
1704103483000,0
1704103500000,0
1704103521000,0
1704103528000,0
1704103537000,0
1704103547000,0
1704103560000,0
1704103581000,0
1704103588000,0
1704103598000,0
1704103613000,0
1704103620000,0
1704103641000,0
1704103648000,0
1704103657000,0
1704103678000,0
1704103680000,0
1704103701000,0
1704103709000,0
1704103717000,0
1704103740000,0
1704103743000,0
1704103761000,0
1704103769000,0
1704103778000,0
1704103800000,0
1704103808000,0
1704103821000,0
1704103830000,0
1704103837000,0
1704103860000,0
1704103872000,0
1704103881000,0
1704103890000,0
1704103897000,0
1704103920000,0
1704103937000,0
1704103941000,0
1704103950000,0
1704103957000,0
1704103980000,0
1704104001000,0
1704104011000,0
1704104018000,0
1704104040000,0
1704104061000,0
1704104065000,0
1704104071000,0
1704104078000,0
1704104100000,0
1704104121000,0
1704104130000,0
1704104131000,0
1704104137000,0
1704104160000,0
1704104181000,0
1704104192000,0
1704104194000,0
1704104198000,0
1704104220000,0
1704104241000,0
1704104252000,0
1704104257000,0
1704104258000,0
1704104280000,0
1704104301000,0
1704104312000,0
1704104318000,0
1704104322000,0
1704104340000,0
1704104361000,0
1704104373000,0
1704104378000,0
1704104387000,0
1704104400000,0
1704104421000,0
1704104433000,0
1704104438000,0
1704104452000,0
1704104460000,0
1704104481000,0
1704104493000,0
1704104497000,0
1704104516000,0
1704104520000,0
1704104541000,0
1704104554000,0
1704104557000,0
1704104580000,0
1704104601000,0
1704104614000,0
1704104617000,0
1704104640000,0
1704104644000,0
1704104661000,0
1704104674000,0
1704104678000,0
1704104700000,0
1704104708000,0
1704104721000,0
1704104735000,0
1704104737000,0
1704104760000,0
1704104772000,0
1704104781000,0
1704104795000,0
1704104797000,0
1704104820000,0
1704104836000,0
1704104841000,0
1704104855000,0
1704104858000,0
1704104880000,0
1704104900000,0
1704104901000,0
1704104916000,0
1704104917000,0
1704104940000,0
1704104961000,0
1704104965000,0
1704104976000,0
1704104978000,0
1704105000000,0
1704105021000,0
1704105030000,0
1704105036000,0
1704105038000,0
1704105060000,0
1704105081000,0
1704105095000,0
1704105097000,0
1704105098000,0
1704105120000,0
1704105141000,0
1704105157000,0
1704105159000,0
1704105180000,0
1704105201000,0
1704105217000,0
1704105218000,0
1704105223000,0
1704105240000,0
1704105261000,0
1704105278000,0
1704105287000,0
1704105300000,0
1704105321000,0
1704105338000,0
1704105351000,0
1704105360000,0
1704105381000,0
1704105398000,0
1704105416000,0
1704105420000,0
1704105441000,0
1704105458000,0
1704105459000,0
1704105480000,0
1704105481000,0
1704105501000,0
1704105518000,0
1704105519000,0
1704105540000,0
1704105546000,0
1704105561000,0
1704105579000,0
1704105586000,1
1704105600000,1
1704105612000,1
